id,brand,model,plate,price,color,description,horsePower,doors,picture,type,customer
XRK3ok1ttai1ZLazR6f9,Aston Martin,DBS,58-5617N,2122227,Black,Your line born beyond me.,1077,four,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fprueba-aston-martin-dbs-770-ultimate-3053200.webp?alt=media&token=4a375921-7366-4ce1-b7c6-4fe6f153b486', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fprueba-aston-martin-dbs-770-ultimate-3053200.webp?alt=media&token=4a375921-7366-4ce1-b7c6-4fe6f153b486', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fprueba-aston-martin-dbs-770-ultimate-3053200.webp?alt=media&token=4a375921-7366-4ce1-b7c6-4fe6f153b486', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fprueba-aston-martin-dbs-770-ultimate-3053200.webp?alt=media&token=4a375921-7366-4ce1-b7c6-4fe6f153b486', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fprueba-aston-martin-dbs-770-ultimate-3053200.webp?alt=media&token=4a375921-7366-4ce1-b7c6-4fe6f153b486'}",Coupe,
bDBsg2ellYIc5TFUFiZz,Aston Martin,DBS Superleggera,5316CRQ,310000,Verde,V12 biturbo,715,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741336078054_xrarktpdqr?alt=media&token=d3a44434-7c6f-4df8-b480-f67d6a50e7c6', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741336078054_xrarktpdqr?alt=media&token=d3a44434-7c6f-4df8-b480-f67d6a50e7c6', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741336078054_xrarktpdqr?alt=media&token=d3a44434-7c6f-4df8-b480-f67d6a50e7c6', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741336078054_xrarktpdqr?alt=media&token=d3a44434-7c6f-4df8-b480-f67d6a50e7c6', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741336078054_xrarktpdqr?alt=media&token=d3a44434-7c6f-4df8-b480-f67d6a50e7c6'}",Coupé,
qhLXC5EKJvOOnAbxAiuP,Aston Martin,Valhalla,145-CVN,2362805,Red,State stand seven sing recently new.,846,four,No data,Sport,
uZ3KpLlRAkb7kXnOmqjz,Aston Martin,Rapide,DXY-748,2237183,Orange,Yet recent vote north wish yard.,543,four,No data,Convertible,
x05H3fUmsoDzAWoszieC,Aston Martin,DB11,132 RE3,287831,Green,Break war garden stand price those.,607,four,No data,Coupe,
xGm0ZzQkELcD6HBfk67X,Aston Martin,Vantage,2-52781G,1927479,Blue,Reveal too government budget.,427,four,No data,Convertible,fD6BDbia33S3cuTjYPWP8ePn1LW2
5AGtUU9okxvaWRZDG2LC,Bentley,Continental GT Speed,2837HQW,280000,Verde,Motor W12 y tracción total,650,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741338182126_owzqpag3im?alt=media&token=769a11b7-677b-47e1-b752-dd337a764cb9', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741338182126_owzqpag3im?alt=media&token=769a11b7-677b-47e1-b752-dd337a764cb9', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741338182126_owzqpag3im?alt=media&token=769a11b7-677b-47e1-b752-dd337a764cb9', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741338182126_owzqpag3im?alt=media&token=769a11b7-677b-47e1-b752-dd337a764cb9', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741338182126_owzqpag3im?alt=media&token=769a11b7-677b-47e1-b752-dd337a764cb9'}",Coupé,
4isPPwvYOpQ7wYO1FmXI,Bugatti,Divo,516-MDC,2536662,Silver,Good those top brother charge something run.,709,three,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-divo-principal-soymotor.jpg?alt=media&token=999d0c49-4cb6-4c08-9e84-b15198182525', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-divo-principal-soymotor.jpg?alt=media&token=999d0c49-4cb6-4c08-9e84-b15198182525', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-divo-principal-soymotor.jpg?alt=media&token=999d0c49-4cb6-4c08-9e84-b15198182525', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-divo-principal-soymotor.jpg?alt=media&token=999d0c49-4cb6-4c08-9e84-b15198182525', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-divo-principal-soymotor.jpg?alt=media&token=999d0c49-4cb6-4c08-9e84-b15198182525'}",SUV,
H7zfmoj8dmWEcrTUYGTr,Bugatti,Centodieci,AIR-951,2584034,Yellow,Decade then this certain loss different short.,1042,three,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-centodieci-in-vendita-all-asta-di-rm-sotheby-s.jpg?alt=media&token=29e3c9a1-bf58-4d65-8379-5c2bfe8ca64c', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-centodieci-in-vendita-all-asta-di-rm-sotheby-s.jpg?alt=media&token=29e3c9a1-bf58-4d65-8379-5c2bfe8ca64c', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-centodieci-in-vendita-all-asta-di-rm-sotheby-s.jpg?alt=media&token=29e3c9a1-bf58-4d65-8379-5c2bfe8ca64c', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-centodieci-in-vendita-all-asta-di-rm-sotheby-s.jpg?alt=media&token=29e3c9a1-bf58-4d65-8379-5c2bfe8ca64c', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbugatti-centodieci-in-vendita-all-asta-di-rm-sotheby-s.jpg?alt=media&token=29e3c9a1-bf58-4d65-8379-5c2bfe8ca64c'}",Convertible,
lO12FQJnTcSnR6y5F80E,Bugatti,Veyron,XP-0938,2145475,White,Pressure five service organization course join.,570,four,No data,Coupe,M8zqBVL1cBawnB5TUI3VdT8ILe12
